id,name,aka,city,lat,lng,cause_areas,tier,org_type,founded,key_people,website,careers_url,funding,description,remote_note,confidence,verify,sources,relationships,country
ea-belgium,Effective Altruism Belgium (Effectief Altruïsme België vzw),EA Flanders (pre-merger branding),Brussels (national),50.8503,4.3517,Community building; Effective giving & meta,1,community,2016,Volunteer-run; funded community builder via EA Infrastructure Fund (2023),https://eabelgium.org,https://eabelgium.org/get-involved/,EA Infrastructure Fund (community builder role); donations,"Umbrella non-profit (BE 0689.778.777) of the Belgian EA community; runs events, intro courses, the EA Summit Brussels, and local groups.",,high,"Current staffing; founding year (EAGx Flanders event was 2016, vzw registration date may differ)",https://eabelgium.org; https://forum.effectivealtruism.org/posts/urGanaeMgXAtfmFpY,ea-ghent:has_chapter; ea-brussels:has_chapter; effectief-geven:closely_collaborates,BE
ea-brussels,EA Brussels,,Brussels,50.8466,4.3528,Community building,1,community,2015,Volunteer organisers,https://eabelgium.org/groups/,,Volunteer-run,"Most active local EA group; meetups since 2015, strong expat presence; organises the EA Summit Brussels (Feb 2026).",,high,,https://forum.effectivealtruism.org/posts/urGanaeMgXAtfmFpY; https://summit.eabrussels.org/,,BE
ea-ghent,EA Ghent (incl. UGent chapter),EA UGent,Ghent,51.0543,3.7174,Community building,1,community,,Volunteer organisers,https://eabelgium.org/groups/,,Volunteer-run,"Local EA group in Ghent with a university chapter at UGent; runs events on AI safety, careers, and other EA causes.",,high,Founding year; confirm current organisers and activity,https://forum.effectivealtruism.org/posts/urGanaeMgXAtfmFpY,,BE
ea-uclouvain,EA UCLouvain,,Louvain-la-Neuve,50.6683,4.6114,Community building,1,community,,,https://eabelgium.org/groups/,,Volunteer-run,University EA chapter at UCLouvain; activity level fluctuates (2023 source mentions it; current status unverified).,,medium,Whether the group is currently active,https://forum.effectivealtruism.org/posts/urGanaeMgXAtfmFpY,,BE
ea-leuven,EA Leuven (emerging),,Leuven,50.8798,4.7005,Community building,1,community,2025,,https://eabelgium.org/groups/,,Volunteer-run,First social meetups started in 2025 to explore founding a local group.,,medium,Whether a formal group now exists,https://eabelgium.substack.com/p/ea-belgium-april-newsletter,,BE
effectief-geven,Effectief Geven vzw,,Antwerp/Ghent (events); Belgium-wide,51.2194,4.4025,Effective giving & meta; Global health & development; Climate; Animal welfare & food systems,1,funder_advisor,2023,Mathieu Spillebeen (director/founder),https://www.effectiefgeven.be,,"Donations; part of international effective-giving network (GWWC, Doneer Effectief NL, Ayuda Efectiva, etc.)",Independent advice centre helping Belgians donate with maximal scientifically-demonstrated impact per euro (GiveWell-style methodology); secured tax-deductibility for effective charities in Belgium.,,high,Founding year and registered office address,https://www.effectiefgeven.be/onze-visie; https://www.effectiefgeven.be/ons-ecosysteem,ea-belgium:closely_collaborates,BE
sma,The School for Moral Ambition (Brussels office),SMA,Brussels,50.842,4.37,Careers & talent; Animal welfare & food systems; Effective giving & meta,1,talent_program,2024,"Rutger Bregman, Jan-Willem van Putten, Julia van Boven, Harald Dunnink, Ruben Timmerman (co-founders)",https://www.moralambition.org,https://www.moralambition.org/jobs,Philanthropy; book proceeds,"Runs fellowships placing experienced professionals in high-impact orgs; the EU Food Transition Fellowship is Brussels-based, and SMA has staff and an office in Brussels (alongside Amsterdam and New York).",,high,Brussels office address,https://www.moralambition.org/about-us; https://www.moralambition.org/fellowships/food-eu,proveg-belgium:same_ecosystem; sma-amsterdam:same_organisation,BE
talos,Talos Network,Talos Institute; spun out of Training for Good,Brussels (activity hub; legal seat unverified),50.844,4.36,AI safety & governance; Careers & talent,1,talent_program,2024,Executive Director hired 2024 (name unverified this round),https://www.talosnetwork.org,https://www.talosnetwork.org/talos-fellowship,Open Philanthropy (primary funder at launch),"Runs Europe's leading AI governance fellowship (~50 fellows/yr): 8-week course, Brussels summit, and paid placements at Brussels-area think tanks (CFG, FLI, TFS, CEPS, EPC, Pour Demain, etc.). Spun out of Training for Good, whose site went offline in late 2025.",,high,Where legally registered; current leadership names,https://www.talosnetwork.org/talos-fellowship; https://forum.effectivealtruism.org/posts/CsBGdHTLmxQnbaSap,cfg:places_fellows_at; fli:places_fellows_at; tfs:places_fellows_at,BE
fli,Future of Life Institute (EU office),FLI,Brussels,50.8433,4.3695,AI safety & governance,1,think_tank,2014,"Max Tegmark (president, global); Brussels-based EU policy team; co-founded by Jaan Tallinn",https://futureoflife.org,https://futureoflife.org/about-us/careers/,Large endowment (incl. major crypto donation); ~€400k/yr EU advocacy spend,"X-risk-focused nonprofit; its Brussels office (Avenue des Arts 44, 1040) led civil-society advocacy on the EU AI Act and runs artificialintelligenceact.eu.",,high,Current Brussels team lead name,https://www.lobbyfacts.eu/datacard/future-of-life-institute; https://futureoflife.org/our-work/policy-and-research/,talos:hosts_fellows,BE
cfg,Centre for Future Generations,"CFG; ICFG (International Center for Future Generations, legal name Stichting ICFG)",Brussels (HQ at Norrsken House),50.855,4.351,AI safety & governance; Biosecurity & pandemic preparedness; Climate; Emerging tech governance,2,think_tank,2021,Steven Schuurman & Laurens de Groot (co-founders/funders),https://cfg.eu,https://cfg.eu/careers/,"Philanthropic: The Dreamery Foundation, Stichting Tanka; refuses corporate/government funding","Independent 'think-and-do tank' helping policymakers govern rapid technological change (advanced AI, biotech, neurotech, climate interventions); Brussels HQ since 2023. Longtermist-flavoured mission but does not self-identify as EA.",,high,Whether to classify core vs adjacent — mission is future-generations-focused but org avoids EA label,https://cfg.eu/about-us/; https://www.lobbyfacts.eu/datacard/stichting-icfg,talos:hosts_fellows,BE
tfs,The Future Society (Brussels presence),TFS,Brussels (staff presence; US-incorporated),50.8467,4.372,AI safety & governance,2,think_tank,2014,Nicolas Moës (Executive Director; Brussels-based — verify),https://thefuturesociety.org,https://thefuturesociety.org/careers,Philanthropic grants (incl. EA-aligned funders — verify current mix),"Independent nonprofit advancing AI governance with US, EU and global policymakers; regular Talos placement host and active in EU AI Act work. Extent of formal Belgian entity unverified.",,medium,Belgian legal presence; whether Nicolas Moës is still ED; funding sources,https://thefuturesociety.org/; https://forum.effectivealtruism.org/posts/CsBGdHTLmxQnbaSap,talos:hosts_fellows,BE
